CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,390,"1,673.10","1,786.40",390,"22,750.00","24,310",5.50,5.70,"2,340",-0.30,5.70,33.64,"8,03,336","23,334","1,54,240",
,-,-,-,-,-,-,"2,470","1,436.20","1,951.30","1,690","22,800.00",390,6.10,6.15,"2,340",-0.65,6.15,33.15,"5,34,219","9,499","51,562",
,-,-,-,-,-,-,"1,690","1,502.50","1,894.85","1,690","22,850.00","2,015",6.60,6.85,"1,755",-0.90,6.55,32.59,"1,22,162","1,707","6,005",
,-,-,-,-,-,-,"1,690","1,368.75","1,901.85","1,690","22,900.00","1,755",7.25,7.40,845,-0.95,7.35,32.29,"2,33,295","5,336","15,158",
,-,-,-,-,-,-,390,"1,477.35","1,581.05",390,"22,950.00","1,690",8.00,8.25,130,-0.75,8.25,32.00,"1,26,006",674,"6,597",
,88,88,107,-,"1,469.85","-1,398.60",390,"1,427.00","1,487.20",65,"23,000.00","1,755",9.10,9.30,390,-0.40,9.30,31.73,"6,43,437","19,097","66,869",
,-,-,4,-,"1,364.60","-1,454.40",390,"1,378.15","1,484.20",390,"23,050.00",195,10.00,10.45,"1,235",-,10.45,31.44,"1,54,185",830,"9,208",
,14,-,2,45.87,"1,438.95",20.65,390,"1,328.65","1,434.15",390,"23,100.00",325,11.10,11.20,65,0.45,11.45,31.01,"4,13,513","-7,989","62,811",
,-,-,-,-,-,-,390,"1,280.90","1,386.25",390,"23,150.00","1,560",12.55,12.70,"1,560",0.70,12.85,30.71,"1,72,311",639,"9,091",
,-,-,-,-,-,-,390,"1,237.05","1,337.60",390,"23,200.00",325,14.05,14.10,"1,625",1.30,14.10,30.27,"4,15,906","23,152","51,592",
,-,-,-,-,-,-,390,"1,184.10","1,288.35",390,"23,250.00",780,15.35,15.85,780,1.95,15.85,29.98,"2,05,204","2,419","10,605",
,285,-10,63,21.01,"1,178.25",-260.15,390,"1,135.70","1,240.65",390,"23,300.00","1,365",17.05,17.45,"1,430",1.80,17.05,29.42,"4,61,068","30,216","61,227",
,13,-,4,-,"1,120.90",-266.85,390,"1,087.05","1,199.60",390,"23,350.00","1,235",19.25,19.60,"1,300",3.25,19.65,29.28,"2,10,567","2,466","17,550",
,469,-6,40,29.64,"1,100.40",-266.10,390,"1,039.70","1,144.00",390,"23,400.00","1,560",21.15,21.75,"1,625",4.25,21.85,28.92,"5,34,949","12,839","43,460",
,13,-,-,-,"1,158.20",-,390,993.70,"1,097.45",390,"23,450.00","1,820",23.70,23.95,260,4.75,23.95,28.45,"3,17,994","-2,557","21,433",
,948,13,"1,266",28.55,"1,004.65",-285.30,520,991.85,"1,003.50",780,"23,500.00",390,26.50,26.75,195,6.35,26.75,28.11,"12,08,914","7,559","1,05,265",
,15,-1,27,21.28,935.25,-268.35,390,899.10,"1,003.15",390,"23,550.00","1,560",29.60,29.90,780,7.35,29.80,27.75,"2,84,963","-1,485","9,569",
,226,-1,141,24.84,899.00,-275.65,65,898.05,910.90,65,"23,600.00",845,33.10,33.30,715,9.10,33.30,27.41,"6,41,613","6,483","35,248",
,152,7,51,19.59,835.90,-282.40,390,806.45,910.15,390,"23,650.00",195,36.85,37.20,"1,105",10.55,36.85,27.00,"3,85,460","2,342","11,288",
,538,-55,"1,055",27.67,822.90,-259.70,260,810.00,818.35,520,"23,700.00","1,300",41.10,41.40,260,12.45,40.80,26.59,"6,02,558","-6,561","29,473",
